Transaction_ID,Transacton_Amt (USD),Merchant Category,Card Type,Authentication Method,Transaction Mode,Device Type,Is Foreign Transaction,Hours Since Last Transaction,Transactions Count (last 24hrs),Distance from home (Km),Card Age (Months),Customer Age,Customer Age Group,Account Balance (USD),New Merchant,VPN Used,IP Country Mismatch,Billing & Shipping Mismatch,CVV Retry Count,Velocity Score,Time of Day,Day of Week,AI Scam Attempt,Merchant Risk Score,Merchant Risk Level,Previous Disputes,Fraud Status
8250,76.44,Crypto Exchange,RuPay,PIN,Contactless,iPhone,No,Within 1 Hour,2,24.06,2–5 Years,77,61+,4138.81,No,No,Yes,No,0,40.2,Afternoon (12 PM - 5 PM),Tuesday,No,47.9,Medium,0,Genuine
8251,208.51,Online Retail,Mastercard,3D Secure,Online,Mac,No,6-12 Hours,4,1.97,2–5 Years,44,36-45,1345.92,No,No,No,No,0,17,Evening (5 PM - 9 PM),Thursday,No,25.9,Low,0,Genuine
8252,93.89,Groceries,Visa,3D Secure,Contactless,Android Phone,No,1-6 Hours,2,25.47,2–5 Years,68,61+,316.18,No,No,No,No,1,17.4,Early Morning (12 AM - 6 AM),Wednesday,No,37,Low,1,Genuine
8253,69.55,Utilities,Discover,3D Secure,Online,Windows PC,No,6-12 Hours,1,21.41,2–5 Years,52,46-60,938.63,No,No,No,Yes,0,16,Evening (5 PM - 9 PM),Monday,No,47.5,Medium,0,Genuine
8254,278.78,Electronics,RuPay,No Authentication,In-App,iPhone,No,6-12 Hours,4,2.8,2–5 Years,28,26-35,13807.1,Yes,No,No,No,0,16.2,Early Morning (12 AM - 6 AM),Sunday,No,45.5,Medium,0,Genuine
8255,9.41,Groceries,Visa,OTP,Online,Windows PC,No,1-2 Days,5,1.53,2–5 Years,22,18-25,2478.65,No,No,No,No,0,39.1,Morning (6 AM - 12 PM),Thursday,No,18.8,Very Low,0,Genuine
8256,25.1,Gaming,Visa,Biometric,Contactless,Android Phone,No,1-6 Hours,3,22.88,2–5 Years,61,61+,1860.86,No,Yes,No,No,1,15.7,Morning (6 AM - 12 PM),Monday,No,50.4,Medium,0,Genuine
8257,250.51,Electronics,Amex,PIN,In-App,ATM Machine,No,6-12 Hours,7,66.42,2–5 Years,77,61+,1264.26,Yes,No,No,No,0,44.5,Early Morning (12 AM - 6 AM),Saturday,No,63.5,High,0,Genuine
8258,23.64,Restaurants,Visa,Biometric,POS,ATM Machine,No,1-6 Hours,5,11.17,2–5 Years,26,26-35,2933.18,Yes,No,No,No,0,22.8,Afternoon (12 PM - 5 PM),Saturday,No,37.9,Low,1,Genuine
8259,4.62,Online Retail,Mastercard,PIN,Online,Android Phone,Yes,Within 1 Hour,1,41.76,2–5 Years,34,26-35,1201.99,Yes,No,No,No,2,2.3,Early Morning (12 AM - 6 AM),Monday,No,18.5,Very Low,0,Genuine
8260,48.61,Groceries,Mastercard,OTP,Online,Android Phone,No,12-24 Hours,5,7.97,2–5 Years,67,61+,6427.81,Yes,Yes,No,No,0,34.2,Afternoon (12 PM - 5 PM),Saturday,No,40.6,Medium,1,Genuine
8261,145.55,Online Retail,Visa,PIN,ATM,POS Terminal,No,12-24 Hours,7,11.68,2–5 Years,75,61+,29501.99,No,No,No,No,1,37,Afternoon (12 PM - 5 PM),Wednesday,No,36,Low,0,Genuine
8262,3.81,Streaming,Amex,Biometric,Contactless,Smart Watch,No,1-6 Hours,2,15.71,2–5 Years,64,61+,1987.83,No,No,No,No,0,14.2,Night (9 PM - 12 AM),Monday,No,47.2,Medium,0,Genuine
8263,117.56,Online Retail,Mastercard,OTP,Online,iPhone,No,1-2 Days,10,3.38,5+ Years,18,18-25,420.57,No,No,No,No,1,42.5,Evening (5 PM - 9 PM),Saturday,No,38.3,Low,0,Genuine
8264,78.87,Restaurants,Amex,Biometric,Contactless,iPhone,No,12-24 Hours,5,19.45,2–5 Years,70,61+,11043.62,Yes,No,No,No,1,32.7,Morning (6 AM - 12 PM),Wednesday,No,32.4,Low,0,Genuine
8265,22.16,Online Retail,Mastercard,OTP,In-App,Tablet,No,6-12 Hours,1,51.18,2–5 Years,29,26-35,16592.95,No,Yes,No,Yes,1,6.6,Morning (6 AM - 12 PM),Sunday,No,27.4,Low,0,Genuine
8266,980.22,Electronics,Visa,OTP,POS,Android Phone,No,1-6 Hours,4,64.06,2–5 Years,22,18-25,1954.72,No,No,No,No,0,10.6,Evening (5 PM - 9 PM),Friday,No,25.7,Low,0,Genuine
8267,201.44,Crypto Exchange,Visa,3D Secure,ATM,Android Phone,No,1-6 Hours,3,8.53,2–5 Years,42,36-45,3588.02,No,No,No,No,0,39.1,Morning (6 AM - 12 PM),Friday,No,80,Very High,0,Genuine
8268,48.45,Electronics,Mastercard,PIN,POS,Smart Watch,No,1-6 Hours,4,17.04,2–5 Years,81,61+,5343.26,No,No,No,No,0,20.1,Evening (5 PM - 9 PM),Thursday,No,32.6,Low,0,Genuine
8269,58.73,Restaurants,Visa,PIN,ATM,iPhone,No,1-6 Hours,3,41.59,2–5 Years,43,36-45,3004.41,Yes,No,No,No,0,18.4,Morning (6 AM - 12 PM),Sunday,No,25.1,Low,0,Genuine
8270,20.02,Healthcare,Mastercard,PIN,Online,Windows PC,No,1-6 Hours,2,9.91,2–5 Years,63,61+,3719.22,No,No,No,No,0,32,Early Morning (12 AM - 6 AM),Friday,No,39.6,Low,0,Genuine
8271,58.94,Groceries,Visa,3D Secure,Online,Android Phone,No,1-6 Hours,0,20.58,2–5 Years,35,26-35,2022.94,No,No,No,No,0,0,Night (9 PM - 12 AM),Wednesday,No,32.6,Low,0,Genuine
8272,456.75,Gaming,Amex,PIN,POS,Android Phone,No,6-12 Hours,4,12.14,2–5 Years,63,61+,1832.41,Yes,No,No,No,0,33.4,Early Morning (12 AM - 6 AM),Monday,No,38,Low,0,Genuine
8273,34.16,Healthcare,Amex,PIN,In-App,Android Phone,No,12-24 Hours,3,10.79,2–5 Years,35,26-35,724.02,No,No,No,No,0,29.2,Evening (5 PM - 9 PM),Wednesday,No,28,Low,0,Genuine
8274,114.72,Restaurants,Discover,3D Secure,POS,Windows PC,No,1-6 Hours,6,15.01,2–5 Years,25,18-25,812.41,No,No,No,No,1,33.3,Afternoon (12 PM - 5 PM),Wednesday,No,19.7,Very Low,0,Genuine
8275,24.27,Online Retail,Mastercard,PIN,Contactless,Android Phone,No,1-6 Hours,6,26.91,2–5 Years,31,26-35,1162.1,No,No,No,No,0,16.2,Morning (6 AM - 12 PM),Wednesday,No,52.1,Medium,3,Genuine
8276,17.27,Healthcare,Visa,PIN,POS,Windows PC,No,12-24 Hours,5,70.51,2–5 Years,80,61+,1939.86,No,No,No,No,0,22.9,Morning (6 AM - 12 PM),Monday,No,50.1,Medium,1,Genuine
8277,995.52,Electronics,RuPay,OTP,Contactless,iPhone,No,6-12 Hours,1,1.95,2–5 Years,62,61+,3274.46,No,No,No,No,1,3,Morning (6 AM - 12 PM),Saturday,No,40.4,Medium,0,Genuine
8278,211.88,Electronics,Visa,PIN,Online,iPhone,No,1-6 Hours,3,15.63,2–5 Years,55,46-60,2936.71,No,No,No,No,0,0.2,Afternoon (12 PM - 5 PM),Wednesday,No,41,Medium,0,Genuine
8279,16.43,Streaming,Visa,3D Secure,Online,iPhone,No,1-6 Hours,2,22.37,2–5 Years,41,36-45,1351.1,No,No,No,No,0,8,Evening (5 PM - 9 PM),Wednesday,No,28.6,Low,0,Genuine
8280,4.36,Online Retail,Visa,3D Secure,Online,ATM Machine,No,Within 1 Hour,1,32.79,2–5 Years,57,46-60,1516.32,Yes,No,No,No,0,19.4,Night (9 PM - 12 AM),Tuesday,No,42.2,Medium,0,Genuine
8281,508.54,Travel,Mastercard,OTP,POS,iPhone,No,1-6 Hours,6,47.05,5+ Years,47,46-60,4214.56,No,No,No,No,0,45.4,Early Morning (12 AM - 6 AM),Sunday,No,28.6,Low,0,Genuine
8282,3124.59,Travel,Visa,Biometric,In-App,POS Terminal,No,1-6 Hours,8,109.67,2–5 Years,21,18-25,925.71,No,No,No,No,0,60.1,Early Morning (12 AM - 6 AM),Sunday,No,20.8,Low,0,Genuine
8283,269.53,Travel,Mastercard,PIN,POS,Android Phone,No,12-24 Hours,5,9.76,2–5 Years,74,61+,2226.45,No,No,No,No,0,19.8,Morning (6 AM - 12 PM),Tuesday,No,47.6,Medium,1,Genuine
8284,26.62,Groceries,Mastercard,OTP,In-App,Tablet,No,1-6 Hours,5,182.8,2–5 Years,59,46-60,1447.29,No,No,No,No,0,32.8,Afternoon (12 PM - 5 PM),Friday,No,49.6,Medium,1,Genuine
8285,64.55,Gaming,Mastercard,3D Secure,Online,Mac,No,1-6 Hours,3,35.15,2–5 Years,61,61+,2920.94,No,No,No,Yes,1,11.1,Morning (6 AM - 12 PM),Tuesday,No,43.5,Medium,0,Genuine
8286,380.67,Crypto Exchange,Visa,No Authentication,POS,ATM Machine,No,1-6 Hours,3,5.28,2–5 Years,78,61+,3790.07,No,No,No,No,0,23.2,Evening (5 PM - 9 PM),Wednesday,No,84.7,Very High,0,Genuine
8287,15.06,Online Retail,Visa,3D Secure,Online,Android Phone,No,Within 1 Hour,1,29.12,2–5 Years,43,36-45,4098.46,Yes,No,No,No,0,24.6,Early Morning (12 AM - 6 AM),Thursday,No,33.3,Low,1,Genuine
8288,32.18,Restaurants,Visa,OTP,ATM,ATM Machine,No,1-6 Hours,6,1.96,2–5 Years,37,36-45,5967.51,No,No,No,No,0,30,Morning (6 AM - 12 PM),Monday,No,33.8,Low,0,Genuine
8289,19.2,Restaurants,Discover,Biometric,Contactless,POS Terminal,No,6-12 Hours,3,3.13,2–5 Years,45,36-45,1125.05,No,No,No,No,0,27.6,Morning (6 AM - 12 PM),Monday,No,26.6,Low,0,Genuine
8290,13.39,Groceries,Visa,3D Secure,ATM,Windows PC,No,Within 1 Hour,1,2.39,2–5 Years,47,46-60,5002.28,Yes,No,No,No,0,2.3,Evening (5 PM - 9 PM),Wednesday,No,31.4,Low,0,Genuine
8291,13.22,Streaming,RuPay,3D Secure,Contactless,Android Phone,No,Within 1 Hour,4,38.42,2–5 Years,62,61+,1015.16,No,No,No,No,0,24.2,Afternoon (12 PM - 5 PM),Wednesday,No,16.5,Very Low,0,Genuine
8292,46.98,Healthcare,Mastercard,No Authentication,In-App,iPhone,No,1-2 Days,2,3.18,2–5 Years,60,46-60,2318.25,No,No,No,No,0,0,Early Morning (12 AM - 6 AM),Tuesday,No,34.7,Low,1,Genuine
8293,211.36,Travel,Mastercard,PIN,Online,Tablet,No,1-2 Days,2,23.69,2–5 Years,63,61+,490.98,No,No,No,No,1,12.4,Evening (5 PM - 9 PM),Saturday,No,37,Low,0,Genuine
8294,136.21,Restaurants,Visa,Biometric,POS,Mac,No,12-24 Hours,5,42.51,2–5 Years,35,26-35,2534.78,No,Yes,No,No,0,18.2,Morning (6 AM - 12 PM),Wednesday,No,31.1,Low,1,Genuine
8295,10.44,Streaming,Visa,OTP,Contactless,iPhone,No,12-24 Hours,4,8.67,2–5 Years,60,46-60,383.35,No,Yes,No,No,1,15.4,Afternoon (12 PM - 5 PM),Thursday,No,34.7,Low,0,Genuine
8296,18.12,Online Retail,Mastercard,PIN,POS,POS Terminal,No,1-2 Days,3,11.72,2–5 Years,31,26-35,3875.98,No,No,No,No,0,0,Night (9 PM - 12 AM),Sunday,No,33.4,Low,1,Genuine
8297,55.94,Electronics,Visa,PIN,Contactless,Android Phone,No,6-12 Hours,5,20.64,2–5 Years,35,26-35,26400.72,No,No,No,No,0,13.3,Afternoon (12 PM - 5 PM),Thursday,No,56.8,Medium,0,Genuine
8298,190.81,Fuel,Discover,3D Secure,POS,POS Terminal,No,12-24 Hours,2,19.12,2–5 Years,58,46-60,1199.8,No,Yes,No,No,0,3.4,Early Morning (12 AM - 6 AM),Thursday,No,54.2,Medium,0,Genuine
8299,42.02,Healthcare,Mastercard,3D Secure,POS,iPhone,Yes,12-24 Hours,4,5.22,2–5 Years,78,61+,287.68,No,Yes,No,No,0,14.7,Early Morning (12 AM - 6 AM),Wednesday,No,2.2,Very Low,1,Genuine
8300,56.36,Groceries,Visa,OTP,In-App,POS Terminal,No,1-6 Hours,4,3.07,2–5 Years,42,36-45,1089.89,No,No,No,No,0,33.1,Early Morning (12 AM - 6 AM),Friday,No,17.4,Very Low,0,Genuine
8301,20.61,Groceries,Visa,OTP,In-App,Android Phone,No,12-24 Hours,1,28.26,2–5 Years,80,61+,2690.35,No,No,No,No,0,3.9,Morning (6 AM - 12 PM),Thursday,Yes,21.1,Low,1,Genuine
8302,161.12,Groceries,Mastercard,OTP,POS,Windows PC,No,1-6 Hours,4,11.29,2–5 Years,60,46-60,625.93,No,Yes,No,No,0,25.1,Evening (5 PM - 9 PM),Friday,No,33.2,Low,0,Genuine
8303,12.29,Online Retail,Mastercard,PIN,Online,iPhone,Yes,12-24 Hours,9,1.11,2–5 Years,20,18-25,609.86,No,No,No,No,0,39,Morning (6 AM - 12 PM),Sunday,No,40.6,Medium,0,Genuine
8304,103.54,Online Retail,Mastercard,3D Secure,Online,Android Phone,Yes,Within 1 Hour,4,19.43,2–5 Years,63,61+,3900.56,No,No,No,No,1,36.4,Morning (6 AM - 12 PM),Tuesday,No,37.4,Low,1,Genuine
8305,751.09,Restaurants,RuPay,No Authentication,POS,iPhone,No,12-24 Hours,3,1.05,2–5 Years,36,36-45,5295.53,No,No,No,No,0,12.7,Early Morning (12 AM - 6 AM),Friday,No,20.4,Low,0,Genuine
8306,142.16,Groceries,Visa,Biometric,Online,Android Phone,No,12-24 Hours,2,15.35,2–5 Years,73,61+,5641.15,No,No,No,No,0,12.9,Early Morning (12 AM - 6 AM),Monday,No,29.1,Low,0,Genuine
8307,35.72,Healthcare,RuPay,PIN,In-App,Mac,No,1-6 Hours,2,2.68,2–5 Years,77,61+,8254.91,No,No,No,No,0,3.4,Afternoon (12 PM - 5 PM),Wednesday,No,12.5,Very Low,1,Genuine
8308,66.38,Groceries,Mastercard,Biometric,Contactless,Android Phone,No,6-12 Hours,7,10.01,2–5 Years,19,18-25,466.01,No,No,No,No,1,31.2,Afternoon (12 PM - 5 PM),Friday,No,25.9,Low,0,Genuine
8309,865.45,Travel,Amex,3D Secure,Online,Android Phone,No,1-6 Hours,1,10.21,5+ Years,62,61+,4627.34,Yes,No,No,No,0,16.7,Afternoon (12 PM - 5 PM),Friday,No,33.3,Low,0,Genuine
8310,37.47,Gaming,Visa,PIN,POS,POS Terminal,No,1-2 Days,2,44.95,2–5 Years,19,18-25,234.15,No,No,No,No,0,13.2,Evening (5 PM - 9 PM),Saturday,No,75.5,High,0,Genuine
8311,53.62,Restaurants,Visa,OTP,In-App,iPhone,No,1-2 Days,2,20.4,2–5 Years,28,26-35,6429.73,No,No,No,No,0,4.7,Early Morning (12 AM - 6 AM),Wednesday,No,17.2,Very Low,0,Genuine
8312,1559.45,Travel,Amex,3D Secure,POS,iPhone,No,6-12 Hours,4,25.88,2–5 Years,64,61+,958.49,No,No,No,No,0,22.4,Early Morning (12 AM - 6 AM),Saturday,No,60.2,High,0,Genuine
8313,61.43,Groceries,Mastercard,PIN,ATM,Mac,No,6-12 Hours,4,70.24,2–5 Years,32,26-35,3557.72,No,No,No,No,0,13.2,Early Morning (12 AM - 6 AM),Thursday,No,31.2,Low,0,Genuine
8314,35.15,Restaurants,Visa,PIN,Contactless,Windows PC,No,6-12 Hours,6,16.24,2–5 Years,54,46-60,2969.02,No,No,No,No,0,43.4,Early Morning (12 AM - 6 AM),Monday,No,21.2,Low,0,Genuine
8315,94.09,Travel,Visa,3D Secure,ATM,Windows PC,No,12-24 Hours,5,36.04,2–5 Years,72,61+,1662.72,No,No,No,No,0,21.7,Early Morning (12 AM - 6 AM),Friday,No,36,Low,1,Genuine
8316,35.14,Online Retail,Amex,OTP,Contactless,Android Phone,No,1-6 Hours,1,20.99,2–5 Years,19,18-25,8690.51,Yes,No,No,No,0,10.1,Night (9 PM - 12 AM),Tuesday,No,8.7,Very Low,0,Genuine
8317,361.98,Electronics,Mastercard,PIN,POS,Android Phone,No,6-12 Hours,4,4.48,2–5 Years,23,18-25,586.37,Yes,No,Yes,No,0,8.6,Afternoon (12 PM - 5 PM),Monday,No,45.3,Medium,0,Genuine
8318,11.6,Gaming,Mastercard,OTP,Online,Android Phone,No,1-6 Hours,3,1.69,2–5 Years,75,61+,4086.12,No,No,No,No,0,13,Afternoon (12 PM - 5 PM),Thursday,No,56.9,Medium,0,Genuine
8319,25.29,Gaming,Discover,Biometric,POS,iPhone,No,6-12 Hours,2,13.63,5+ Years,75,61+,1829.74,No,No,No,No,0,10.2,Morning (6 AM - 12 PM),Tuesday,No,43.6,Medium,0,Genuine
8320,10.07,Streaming,RuPay,3D Secure,In-App,Windows PC,No,1-6 Hours,6,7.4,2–5 Years,45,36-45,1461.26,Yes,Yes,No,No,0,27,Night (9 PM - 12 AM),Wednesday,No,30.5,Low,2,Genuine
8321,136.71,Travel,Mastercard,OTP,Contactless,Android Phone,No,1-6 Hours,1,14.63,2–5 Years,67,61+,642.72,Yes,No,No,No,0,21.9,Early Morning (12 AM - 6 AM),Tuesday,No,24.3,Low,0,Genuine
8322,196.26,Healthcare,Amex,3D Secure,Online,POS Terminal,No,1-6 Hours,7,41.48,2–5 Years,66,61+,1366.42,No,No,No,No,0,38.6,Evening (5 PM - 9 PM),Thursday,No,31,Low,0,Genuine
8323,19.21,Gaming,Amex,Biometric,Online,Android Phone,No,6-12 Hours,3,1.23,5+ Years,48,46-60,1137.99,No,No,No,No,0,11.7,Night (9 PM - 12 AM),Sunday,No,65.8,High,1,Genuine
8324,52.6,Online Retail,Mastercard,3D Secure,Contactless,Android Phone,No,1-6 Hours,1,57.37,2–5 Years,21,18-25,1418.27,No,No,No,No,0,12.5,Night (9 PM - 12 AM),Monday,No,16.3,Very Low,1,Genuine
8325,9.2,Gaming,Visa,3D Secure,Online,iPhone,No,6-12 Hours,2,53.04,2–5 Years,60,46-60,2257.06,No,Yes,No,No,0,20.5,Morning (6 AM - 12 PM),Thursday,No,81.9,Very High,3,Genuine
8326,74.59,Restaurants,Mastercard,PIN,Online,iPhone,No,6-12 Hours,1,37.13,2–5 Years,29,26-35,2299.71,Yes,No,No,No,1,0,Morning (6 AM - 12 PM),Sunday,No,25.9,Low,0,Genuine
8327,651.41,Travel,Mastercard,PIN,Online,Android Phone,No,12-24 Hours,2,37.38,2–5 Years,18,18-25,275.13,Yes,No,No,Yes,0,16.3,Early Morning (12 AM - 6 AM),Wednesday,No,16.8,Very Low,0,Genuine
8328,86.85,Restaurants,Visa,3D Secure,Online,POS Terminal,No,12-24 Hours,2,9.31,2–5 Years,72,61+,1739.71,Yes,No,No,Yes,1,6.4,Morning (6 AM - 12 PM),Friday,No,31.5,Low,0,Genuine
8329,181.89,Electronics,Amex,PIN,Online,Windows PC,No,1-6 Hours,4,33.76,2–5 Years,32,26-35,1700.94,No,No,No,No,0,26.1,Morning (6 AM - 12 PM),Saturday,No,65.1,High,0,Genuine
8330,40.96,Fuel,Amex,PIN,Online,POS Terminal,No,6-12 Hours,0,44.34,2–5 Years,43,36-45,298.74,No,No,No,No,1,16.8,Morning (6 AM - 12 PM),Thursday,No,10.7,Very Low,0,Genuine
8331,34.29,Groceries,Amex,Biometric,Online,POS Terminal,No,1-6 Hours,1,23.61,2–5 Years,56,46-60,3909.47,No,No,No,No,0,18.7,Evening (5 PM - 9 PM),Thursday,No,32.5,Low,0,Genuine
8332,34.67,Healthcare,Mastercard,OTP,Contactless,Android Phone,No,12-24 Hours,3,17.42,5+ Years,43,36-45,12960.73,No,No,No,Yes,0,2.8,Afternoon (12 PM - 5 PM),Sunday,No,13.3,Very Low,0,Genuine
8333,269.29,Electronics,Discover,3D Secure,Online,POS Terminal,No,12-24 Hours,2,55.26,2–5 Years,68,61+,1684.07,No,Yes,No,No,0,13.1,Evening (5 PM - 9 PM),Tuesday,No,53.8,Medium,1,Genuine
8334,19.95,Groceries,Visa,PIN,Online,iPhone,No,1-6 Hours,1,27.52,2–5 Years,47,46-60,3612.21,Yes,No,No,No,0,2,Afternoon (12 PM - 5 PM),Friday,No,31.1,Low,0,Genuine
8335,214.31,Electronics,RuPay,3D Secure,POS,Windows PC,No,6-12 Hours,6,8.41,5+ Years,53,46-60,9797.56,No,No,No,No,1,24.1,Morning (6 AM - 12 PM),Wednesday,No,41.9,Medium,0,Genuine
8336,30.75,Crypto Exchange,Visa,PIN,Online,ATM Machine,No,1-6 Hours,6,2.17,2–5 Years,39,36-45,1727.01,No,No,No,Yes,0,35.3,Afternoon (12 PM - 5 PM),Monday,No,69.4,High,0,Genuine
8337,737.55,Electronics,Visa,PIN,Online,Android Phone,No,Within 1 Hour,4,6.5,2–5 Years,20,18-25,465.33,No,Yes,No,Yes,0,37,Early Morning (12 AM - 6 AM),Monday,No,41.7,Medium,1,Genuine
8338,109.08,Online Retail,Visa,OTP,Online,POS Terminal,No,1-6 Hours,0,35.64,2–5 Years,73,61+,2529.74,No,No,No,No,1,24.9,Morning (6 AM - 12 PM),Monday,No,43.1,Medium,0,Genuine
8339,23.97,Online Retail,Visa,3D Secure,In-App,Windows PC,No,1-6 Hours,3,17.47,2–5 Years,48,46-60,358.64,No,No,No,No,0,11.1,Early Morning (12 AM - 6 AM),Saturday,No,21.6,Low,0,Genuine
8340,374.23,Electronics,Visa,OTP,Contactless,iPhone,No,6-12 Hours,6,51.7,2–5 Years,76,61+,2097.23,No,No,No,No,0,35.5,Early Morning (12 AM - 6 AM),Wednesday,No,77.3,High,1,Genuine
8341,49.46,Utilities,Mastercard,OTP,Online,ATM Machine,No,1-6 Hours,6,12.11,2–5 Years,74,61+,3617.21,No,No,No,No,0,28.3,Evening (5 PM - 9 PM),Friday,No,48.4,Medium,1,Genuine
8342,42.3,Online Retail,Mastercard,3D Secure,Contactless,Windows PC,No,12-24 Hours,2,6.4,2–5 Years,74,61+,6496.26,No,No,No,No,0,7.7,Early Morning (12 AM - 6 AM),Tuesday,No,23.2,Low,0,Genuine
8343,94.16,Online Retail,Mastercard,Biometric,In-App,iPhone,No,6-12 Hours,3,17.77,2–5 Years,56,46-60,4121.32,No,No,No,No,0,9,Afternoon (12 PM - 5 PM),Friday,No,9,Very Low,0,Genuine
8344,1742.27,Crypto Exchange,Amex,Biometric,Online,POS Terminal,No,1-6 Hours,5,0.1,2–5 Years,41,36-45,4184.16,No,Yes,Yes,No,0,38.9,Early Morning (12 AM - 6 AM),Wednesday,No,77.4,High,1,Fraud
8345,53.87,Groceries,Visa,3D Secure,POS,Windows PC,No,Within 1 Hour,2,5.03,2–5 Years,59,46-60,7382.49,No,No,No,No,0,25.2,Morning (6 AM - 12 PM),Thursday,No,33.4,Low,0,Genuine
8346,17.13,Online Retail,RuPay,PIN,Online,Windows PC,No,1-6 Hours,6,16.72,2–5 Years,55,46-60,478.64,No,Yes,No,No,0,26.7,Morning (6 AM - 12 PM),Tuesday,No,26.3,Low,0,Genuine
8347,19.94,Restaurants,Visa,Biometric,In-App,iPhone,No,1-6 Hours,4,17.97,2–5 Years,69,61+,6164.8,No,No,No,No,0,17.2,Afternoon (12 PM - 5 PM),Wednesday,No,43.7,Medium,0,Genuine
8348,40.91,Healthcare,Mastercard,3D Secure,POS,iPhone,No,Within 1 Hour,3,55.4,2–5 Years,74,61+,2134.7,Yes,Yes,No,No,0,25.7,Early Morning (12 AM - 6 AM),Wednesday,No,31.4,Low,0,Genuine
8349,143.62,Restaurants,Discover,PIN,POS,POS Terminal,No,1-6 Hours,4,8.47,2–5 Years,71,61+,920.34,No,No,No,Yes,0,15.6,Night (9 PM - 12 AM),Thursday,No,40.3,Medium,1,Genuine
8350,65.56,Groceries,Visa,3D Secure,Contactless,POS Terminal,No,1-6 Hours,5,9.93,2–5 Years,40,36-45,1278.55,No,No,No,No,0,35.7,Morning (6 AM - 12 PM),Sunday,No,22.7,Low,0,Genuine
8351,32.03,Utilities,Amex,3D Secure,Online,Android Phone,No,6-12 Hours,4,24.53,2–5 Years,76,61+,11084.73,No,No,No,No,1,24.4,Morning (6 AM - 12 PM),Monday,No,30,Low,0,Genuine
8352,107.08,Restaurants,Discover,Biometric,ATM,Mac,No,12-24 Hours,6,39.22,2–5 Years,54,46-60,1822.64,No,No,No,No,0,30.1,Morning (6 AM - 12 PM),Friday,No,7.8,Very Low,0,Genuine
8353,57.91,Electronics,Amex,OTP,ATM,iPhone,Yes,1-6 Hours,5,86.32,2–5 Years,34,26-35,401.25,No,No,Yes,No,0,23.5,Afternoon (12 PM - 5 PM),Friday,No,30.8,Low,0,Genuine
8354,171.06,Utilities,RuPay,3D Secure,POS,ATM Machine,No,Within 1 Hour,8,14.46,2–5 Years,34,26-35,44953.11,No,Yes,No,No,0,59.9,Evening (5 PM - 9 PM),Thursday,No,40.6,Medium,0,Genuine
8355,13.64,Fuel,Discover,No Authentication,ATM,iPhone,No,Within 1 Hour,3,14.39,2–5 Years,62,61+,8803.57,No,No,No,No,0,40.4,Night (9 PM - 12 AM),Wednesday,No,30.4,Low,0,Genuine
8356,24.09,Gift Cards,Visa,PIN,Online,Android Phone,No,1-6 Hours,3,61.9,2–5 Years,44,36-45,3202.68,No,No,No,No,0,17.4,Night (9 PM - 12 AM),Sunday,No,68.7,High,0,Genuine
8357,21.57,Groceries,Amex,PIN,In-App,iPhone,No,Within 1 Hour,2,1.61,2–5 Years,22,18-25,1777.54,Yes,No,No,No,0,16.4,Afternoon (12 PM - 5 PM),Thursday,No,28.5,Low,0,Genuine
8358,103.87,Electronics,Visa,3D Secure,Online,Android Phone,No,6-12 Hours,1,17.77,2–5 Years,40,36-45,4545.09,No,No,No,No,0,14.3,Early Morning (12 AM - 6 AM),Monday,No,29.3,Low,0,Genuine
8359,93.82,Crypto Exchange,Visa,No Authentication,In-App,Android Phone,No,1-6 Hours,2,10.34,2–5 Years,23,18-25,3821.55,No,No,No,No,0,9,Morning (6 AM - 12 PM),Tuesday,No,83.3,Very High,0,Genuine
8360,148.18,Restaurants,Visa,No Authentication,Online,Android Phone,No,Within 1 Hour,4,4.83,2–5 Years,72,61+,4536.33,No,No,No,No,0,64.2,Afternoon (12 PM - 5 PM),Saturday,No,31.4,Low,1,Genuine
8361,581.5,Travel,Amex,PIN,Online,iPhone,No,1-6 Hours,2,3.93,2–5 Years,46,46-60,1164.77,No,No,No,No,0,17.3,Early Morning (12 AM - 6 AM),Saturday,No,29.7,Low,0,Genuine
8362,450.99,Restaurants,Visa,3D Secure,Online,Android Phone,No,12-24 Hours,4,19.49,2–5 Years,41,36-45,8379.37,No,No,No,No,0,26.1,Morning (6 AM - 12 PM),Wednesday,No,28.9,Low,0,Genuine
8363,55.43,Gaming,Visa,OTP,Online,iPhone,No,6-12 Hours,5,18.61,5+ Years,31,26-35,1814.51,No,Yes,No,No,0,28,Morning (6 AM - 12 PM),Monday,No,52.3,Medium,0,Genuine
8364,114.03,Restaurants,Visa,PIN,POS,Android Phone,No,6-12 Hours,3,16.5,2–5 Years,24,18-25,2229.61,No,No,No,No,0,10.2,Evening (5 PM - 9 PM),Sunday,No,28,Low,1,Genuine
8365,56.08,Online Retail,Mastercard,3D Secure,Online,Android Phone,No,6-12 Hours,5,4.82,2–5 Years,53,46-60,1303.47,No,No,No,Yes,1,18.7,Morning (6 AM - 12 PM),Thursday,No,20.7,Low,0,Genuine
8366,84.81,Utilities,Mastercard,OTP,Contactless,Mac,No,Within 1 Hour,2,9.67,2–5 Years,77,61+,2074.82,No,No,No,No,0,30.8,Morning (6 AM - 12 PM),Monday,No,35.4,Low,1,Genuine
